name,game_id,ngram,matched_token,matched_category,line
zeichen-gen-16k,0,"['PRINT', '""{down}{down}load""', 'CHR$']",PRINT,command-int-var,20
disassembler-8k,1,"['PRINT', '""{cyan}""', ';']",PRINT,command-int-var,1000
disassembler-8k,1,"['PRINT', '""-{red}""', ':']",PRINT,command-int-var,1000
disassembler-8k,1,"['PRINT', '"" ""', ';']",PRINT,command-int-var,1300
disassembler-8k,1,"['PRINT', 'f2$', '(']",PRINT,command-int-var,1240
disassembler-8k,1,"['PRINT', 'f2$', '(']",PRINT,command-int-var,1320
disassembler-8k,1,"['PRINT', '""{green}""', ';']",PRINT,command-int-var,1310
disassembler-8k,1,"['PRINT', '"" ""', ';']",PRINT,command-int-var,1320
disassembler-8k,1,"['PRINT', '"" ""', ';']",PRINT,command-int-var,1200
disassembler-8k,1,"['PRINT', '""{green}""', ';']",PRINT,command-int-var,1205
disassembler-8k,1,"['PRINT', '""{green}""', ';']",PRINT,command-int-var,1100
disassembler-8k,1,"['PRINT', '"" ""', ';']",PRINT,command-int-var,1220
slalom2,2,"['PRINT', '""t = tagesbestenliste""', 'PRINT']",PRINT,command-int-var,2055
robot-8k,3,"['PRINT', '""highscore:""', ';']",PRINT,command-int-var,660
3d-labyrint-16k,4,"['PRINT', '""sie finden eine lampe""', ':']",PRINT,command-int-var,420
3d-labyrint-16k,4,"['PRINT', '""ihre luft ist verbraucht!""', ':']",PRINT,command-int-var,410
spukhaus-16k,5,"['PRINT', '""{down}{down}load""', 'CHR$']",PRINT,command-int-var,30
spukhaus3,5,"['PRINT', '""du musst schlafen""', ':']",PRINT,command-int-var,15300
spukhaus3,5,"['PRINT', 'q$', ';']",PRINT,command-int-var,14460
spukhaus3,5,"['PRINT', '""such den zettel""', ':']",PRINT,command-int-var,15010
spukhaus3,5,"['PRINT', '""such das kreuz""', ':']",PRINT,command-int-var,14408
spukhaus3,5,"['PRINT', '""du hast dracula""', ':']",PRINT,command-int-var,14440
spukhaus3,5,"['PRINT', '""verjagt""', ':']",PRINT,command-int-var,14440
spukhaus3,5,"['PRINT', '""du musst was trinken""', ':']",PRINT,command-int-var,15200
spukhaus3,5,"['PRINT', '""du musst was essen""', ':']",PRINT,command-int-var,15100
spukhaus3,5,"['PRINT', '""such den schlues-""', ':']",PRINT,command-int-var,15030
spukhaus3,5,"['PRINT', '""{down}{down}dracula hat dich      {down}gebissen""', ':']",PRINT,command-int-var,46405
spukhaus3,5,"['PRINT', '""{clr}{down}{down}{down}du hast gewonnen      {down}du hast jane befreit""', ':']",PRINT,command-int-var,46700
spukhaus3,5,"['PRINT', '""{clr}{down}{down}{down}du hast verloren      {down}{down}{down}du bist verdurstet""', ':']",PRINT,command-int-var,46100
spukhaus3,5,"['PRINT', '""{down}tod umgefallen""', ':']",PRINT,command-int-var,46210
spukhaus3,5,"['PRINT', '""{down}{down}der gehilfe draculas  {down}hat dich getoetet""', ':']",PRINT,command-int-var,46305
spukhaus3,5,"['PRINT', 'q$', ';']",PRINT,command-int-var,47020
spukhaus3,5,"['PRINT', 'q$', '""da ist ein hammer""']",PRINT,command-int-var,21000
spukhaus3,5,"['PRINT', 'q$', '""da ist ein pflock""']",PRINT,command-int-var,21040
spukhaus3,5,"['PRINT', 'q$', ';']",PRINT,command-int-var,21010
spukhaus3,5,"['PRINT', '""interesse""', ':']",PRINT,command-int-var,41000
